Year,Catch,Index
1993,NA,0.798
1994,NA,0.963
1995,NA,1.333
1996,NA,0.542
1997,NA,0.853
1998,NA,0.811
1999,NA,1.138
2000,NA,0.477
2001,NA,0.313
2002,NA,0.749
2003,NA,0.71
2004,NA,0.8
2005,NA,0.706
2006,NA,0.56
2007,NA,0.941
2008,NA,1.263
2009,NA,1.155
2010,NA,1.235
2011,NA,1.253
2012,297,1.651
2013,284,1.7
2014,146,2.048
