Year,IBTS1,IBTS3,UKBTS3,Index
1993,0.44685172647258,0.726247987117552,1.22038980509745,0.797829839562528
1994,0.402166553825322,1.15136876006441,1.33583208395802,0.963122465949252
1995,0.938388625592417,0.371980676328502,2.68815592203898,1.33284174131997
1996,0.357481381178064,0.442834138486312,0.824587706146927,0.541634408603768
1997,1.04265402843602,0,1.51724137931034,0.853298469248788
1998,0.461746784021666,0.35426731078905,1.61619190404798,0.810735332952897
1999,0.357481381178064,1.7536231884058,1.30284857571214,1.13798438176533
2000,0.342586323628978,0.0177133655394525,1.071964017991,0.477421235719812
2001,0.268111035883548,0.177133655394525,0.494752623688156,0.313332438322076
2002,0.789438050101557,0.0885668276972625,1.3688155922039,0.748940156667573
2003,0.685172647257955,0.159420289855072,1.28635682158921,0.710316586234078
2004,0.551117129316181,0.247987117552335,1.59970014992504,0.799601465597851
2005,0.968178740690589,0.63768115942029,0.511244377811094,0.705701425973991
2006,0.268111035883548,0.63768115942029,0.775112443778111,0.56030154636065
2007,0.983073798239675,1.34621578099839,0.494752623688156,0.941347400975407
2008,2.80027081922817,0.478260869565217,0.511244377811094,1.26325868886816
2009,1.45971563981043,1.59420289855072,0.412293853073463,1.1554041304782
2010,1.65335138794854,1.52334943639291,0.527736131934033,1.2348123187585
2011,1.16181448882871,1.7890499194847,0.808095952023988,1.25298678677913
2012,2.3385240352065,2.05475040257649,0.56071964017991,1.65133135932097
2013,2.24915368991198,2.35587761674718,0.494752623688156,1.69992797678244
2014,1.47461069735951,4.09178743961353,0.577211394302849,2.04786984375863
